Timestamp,Location,Signal_Strength,Latency,Required_Bandwidth,Allocated_Bandwidth,
9/3/2023 10:00,Sungai Besi,-121,76,0.37,0.37,
9/3/2023 10:01,Sungai Besi,-59,29,4.5,4.8,
9/3/2023 10:02,Sungai Besi,-83,34,3.2,3.5,
9/3/2023 10:03,Sungai Besi,-53,37,12.9,14.2,
9/3/2023 10:04,Sungai Besi,-43,5,0.5,0.5,
9/3/2023 10:05,Sungai Besi,-100,51,2.3,2.8,
9/3/2023 10:06,Sungai Besi,-59,5,0.9,1.1,
9/3/2023 10:07,Sungai Besi,-101,52,2.2,2.7,
9/3/2023 10:08,Sungai Besi,-99,46,0.62,0.62,
9/3/2023 10:09,Sungai Besi,-62,28,12,13.3,
9/3/2023 10:10,Sungai Besi,-101,46,2.2,2.6,
9/3/2023 10:11,Sungai Besi,-100,51,2.3,2.8,
9/3/2023 10:12,Sungai Besi,-90,29,4,4.3,
9/3/2023 10:13,Sungai Besi,-50,40,13.2,14.5,
9/3/2023 10:14,Sungai Besi,-104,12,0.2,0.2,
9/3/2023 10:15,Sungai Besi,-82,28,10.7,12.2,
9/3/2023 10:16,Sungai Besi,-84,20,0.165,0.185,
9/3/2023 10:17,Sungai Besi,-78,25,2.4,2.7,
9/3/2023 10:18,Sungai Besi,-48,5,0.5,0.5,
9/3/2023 10:19,Sungai Besi,-55,5,0.7,0.8,
9/3/2023 10:20,Sungai Besi,-91,48,0.6,0.6,
9/3/2023 10:21,Sungai Besi,-92,25,0.8,0.8,
9/3/2023 10:22,Sungai Besi,-79,33,4.3,4.8,
9/3/2023 10:23,Sungai Besi,-106,57,1.7,2.2,
9/3/2023 10:24,Sungai Besi,-97,48,2.6,3.1,
9/3/2023 10:25,Sungai Besi,-66,42,0.02,0.045,
9/3/2023 10:26,Sungai Besi,-62,26,4.2,4.5,
9/3/2023 10:27,Sungai Besi,-86,31,3.6,3.9,
9/3/2023 10:28,Sungai Besi,-105,60,0.53,0.53,
9/3/2023 10:29,Sungai Besi,-102,57,0.56,0.56,
